"id","depth","fat","water","protein"
202,0.505557052814606,14.3,66.8,17.4
37,0.505315800912845,29.7,56,14.4
116,0.505315800912845,29.7,56,14.4
95,0.504516844164312,16.4,65.6,18
164,0.504038252553792,23.4,60.3,16.3
148,0.50324972831993,6,73.1,19.6
30,0.503238426429037,16.3,66.2,17.5
91,0.502900673766573,15.4,66.7,17.2
21,0.502308628559009,7.9,72.45,19.7
149,0.502296891980005,6.4,72.4,20.6
93,0.501737448380787,15.7,65.6,18.4
4,0.501495761790915,5.9,72.8,20.7
100,0.50145316235601,18.2,63.6,17.2
36,0.501181916974571,27.8,53.5,13.2
110,0.501181916974571,27.8,53.5,13.2
98,0.500270376005216,17.4,63.3,19.2
209,0.500246902847208,28.4,54.4,14.4
208,0.500095631384481,27.2,56.6,15.7
82,0.499803520973701,10.9,69.4,19.1
179,0.499411866985438,8.6,71.5,19.4
126,0.499281460552054,37.8,48.6,13.8
124,0.498944577265812,36.2,50.6,13.4
20,0.497122364703325,7.8,71.8,20.2
63,0.496851554009998,6.7,71.5,21.5
83,0.496679852206042,10.9,69.5,19.2
104,0.496432514670724,21.5,60.3,17.6
113,0.496013040643338,28.8,53.6,18.2
96,0.495974353401434,16.4,65,17.4
76,0.495888285155401,9.6,69.5,20.1
214,0.495734840252119,42.5,44.9,12
46,0.493708324277331,8.2,72.5,19.3
143,0.49235992175614,46.5,41.2,11.1
131,0.491684416431211,5.9,72.8,20.7
108,0.49076070419474,26.1,57.9,15.3
170,0.490698109106716,35.2,49.5,15.2
128,0.489067159313193,45,42.1,11.8
32,0.488083025429254,20.9,60.5,17.2
66,0.487706150836775,7,69.1,20.5
25,0.487085850901978,12.5,65.5,17
161,0.48591175831341,16.5,66.2,17.2
112,0.484586394262117,28.7,54.9,14.3
75,0.481211475766138,8.5,70.3,21
136,0.481211475766138,8.5,70.3,21
105,0.480736361660509,23,58,18.7
2,0.480436426863726,40.1,46,13.5
173,0.479841338839383,47.7,40.7,11.8
18,0.479179308845904,6.3,74.1,19.2
174,0.47886589871767,25.5,58.3,15.5
1,0.477416213866551,22.5,60.5,16.7
129,0.477188002608129,45.7,42.2,11
72,0.476306020430341,7.7,70.8,20.8
5,0.475475331449685,25.5,58.3,15.5
31,0.471777004998914,18.6,67.1,11.6
146,0.470587263638339,4.7,73.9,21.1
19,0.47041773527494,7.2,67.3,20.1
201,0.467376657248424,12.5,68.1,18.6
151,0.466711149750054,7.1,73.4,18.8
212,0.465761356226907,33.8,51.6,13.8
177,0.464697239730493,4.7,70.7,20.5
69,0.464461638774179,7.2,72.1,20.5
206,0.463522277765703,19.4,62.5,17.9
13,0.463192784177352,2.9,72.7,21.7
188,0.463192784177352,2.9,72.7,21.7
90,0.462592045207563,14,67.3,18.6
61,0.45903542708107,6.6,72.5,20.4
62,0.45903542708107,6.6,72.5,20.4
45,0.458732884155618,49.1,39.3,13.1
213,0.458514670723756,35.5,50.3,13.2
60,0.458073896978918,6.4,72.7,20.4
78,0.45554488154749,9.7,70.5,19.2
42,0.449865681373615,43.8,42.2,13.3
97,0.449723973049337,17.2,64.6,19.4
191,0.445092371223646,6.2,73.6,19.3
130,0.443300152140839,29.8,54.1,15.7
47,0.442873288415562,11,70.3,19.3
175,0.442330797652685,10.6,69.3,19.3
120,0.441467941751793,32.2,52.9,14.1
17,0.440438600304282,5.6,73.5,20
190,0.440438600304282,5.6,73.5,20
101,0.438903716583351,18.3,63.1,19.2
64,0.434075635731363,6.8,72.6,19.6
150,0.434075635731363,6.8,72.6,19.6
22,0.432725929145838,9.2,71.6,18.7
163,0.431246685503151,18.8,61.7,19.5
153,0.43047902629863,7.8,71.8,20.2
68,0.424512062595088,7.2,72.7,18.9
8,0.42153488372093,10.6,69.3,19.3
85,0.41586089980439,11.2,69,19.5
27,0.415092371223647,13.5,65.5,16.2
57,0.413653118887198,6,73.6,20.1
127,0.4118574222995,44.7,43.9,12.1
186,0.41161617039774,47.8,41,11.6
215,0.41161617039774,47.8,41,11.6
14,0.411087589654423,3.5,71.4,21.5
197,0.407238861117149,9.2,69.5,21.5
169,0.407139317539665,33.7,52.2,14.2
162,0.405626168224299,17.7,63.2,19
50,0.404491197565747,3.9,75.1,21.2
159,0.403721799608781,14,65.2,20.5
183,0.402602043034123,23.3,59.8,16.4
121,0.40195261899587,34.2,51.5,14.9
210,0.400152575527059,29.2,55.4,15
178,0.397902629863073,6.8,72.6,19.6
7,0.397414040425995,42.7,44,13.7
111,0.39283199304499,28.1,56.6,15.2
172,0.390197783090633,46.3,42.1,11.5
55,0.382106498587263,5.6,73.4,20.5
134,0.380564659856553,4.6,74,20.8
102,0.378109541404043,18.8,61.7,19.5
92,0.378007824386003,15.5,65.9,19.2
6,0.377979569658769,42.7,44,13.7
11,0.377864377309281,46,41.4,12.5
205,0.374280373831776,18.1,63,18.6
3,0.369573136274723,8.4,71,20.5
106,0.363896109541404,24.9,58.7,16
132,0.362724625081504,46,41.4,12.5
114,0.356569441425777,28.9,55.5,15.2
115,0.349286242121278,29.2,55.4,15
84,0.348553357965659,11,67,21.8
152,0.348205172788524,7.3,71.9,20.1
195,0.347590523799174,7.3,73.2,19.9
154,0.347021082373397,9,70.9,19.9
165,0.342469463160183,26.7,56.9,15.6
109,0.341642251684416,27.3,56.9,15.4
40,0.335987394044773,35.2,49.5,15.2
123,0.335987394044773,35.2,49.5,15.2
56,0.331608346011737,5.6,74.2,19.5
80,0.331127146272549,10.1,69.3,20.5
15,0.323767441860465,4,69.8,21.3
51,0.323767441860465,4,69.8,21.3
184,0.322415127146273,29,55.5,16.6
211,0.322256031297544,31.3,53.4,15.3
107,0.321006302977613,26,56.7,16.8
193,0.308752879808738,6.8,73.4,18.7
167,0.306075635731363,28.9,55.5,15.2
81,0.30382003912193,10.1,69.3,20.5
26,0.301880026081287,13.5,64.6,16.7
138,0.301880026081287,13.5,64.6,16.7
52,0.300148228645947,5.1,74.6,19.6
94,0.29680460769398,16.4,66.2,17.4
160,0.295448815474897,15.9,62.7,21
199,0.294517278852424,10.7,71.1,17.7
86,0.287127580960661,11.2,72.9,13.7
180,0.287127580960661,11.2,72.9,13.7
196,0.286850684633775,7.9,71.9,19.1
34,0.284524668550315,25.1,60.6,11
156,0.28365355357531,10.5,69.2,19.6
16,0.282714627254945,5.2,74.5,20.2
54,0.282714627254945,5.2,74.5,20.2
168,0.28200304281678,31.1,53.3,16.3
144,0.27615953053684,6.1,71.1,21.5
103,0.274277331014997,20.6,62.4,17.1
147,0.273329276244295,5.3,73.5,21.6
77,0.269263638339492,9.7,68.5,21.6
207,0.248958052597262,24.8,55.3,19.3
9,0.24882156053032,19.9,61.4,17.7
65,0.240038252553793,6.9,72.5,20.2
166,0.233168876331233,28.3,55.6,16.3
203,0.231777874375136,16,64.7,19
171,0.231589654422952,38.5,48.5,12.2
89,0.231090197783091,13.8,71.3,12.6
181,0.231090197783091,13.8,71.3,12.6
87,0.224966311671376,11.7,66.8,19
24,0.223937839600087,10.2,67.9,21.5
158,0.222605085850902,12.2,67.5,20.1
141,0.208336448598131,27.9,54.2,17.6
39,0.198097370136927,31.5,52.5,16
142,0.198097370136927,31.5,52.5,16
198,0.195268854596827,10.1,67.9,19.5
73,0.194148663334058,8.1,72,19.4
189,0.190780265159748,4.8,72.1,21.6
59,0.179452727667898,6.4,72.5,20.9
192,0.179452727667898,6.4,72.5,20.9
137,0.177301456205173,11,65.7,16.3
88,0.174925885677027,12.7,68.6,17.8
53,0.170093023255814,5.2,73.1,20.7
38,0.167887415779179,30.4,50.3,19.2
117,0.167887415779179,30.4,50.3,19.2
10,0.165601391001956,19.9,61.4,17.7
74,0.161370571614866,8.4,71.2,19.7
79,0.157607476635514,10.1,67.3,20.1
118,0.154226037817866,31.5,51.6,17.1
71,0.15416996305151,7.7,71.6,20.7
200,0.148667680938926,11.2,65.7,19.4
70,0.143099760921539,7.7,71.6,20.7
122,0.131726146489894,35.1,50.3,14
41,0.123215822647251,35.8,49.1,15.2
157,0.121896978917627,11,68.7,20
33,0.114106933275375,21.2,60.6,17.8
58,0.110705933492719,6.4,72.5,20.9
135,0.110705933492719,6.4,72.5,20.9
182,0.103868724190393,17.7,59.7,15.8
155,0.102389915235819,10,65.7,19.7
119,0.0984507715713975,32,51.4,16
35,0.0931884372962398,26.5,57.6,11.1
194,0.0869528363399262,7.1,72,19
145,0.0841473592697241,2,75.6,21.4
176,0.0841473592697241,2,75.6,21.4
49,0.077747011519235,3.6,74,21.6
187,0.0775044555531406,11.1,65.2,19.2
28,0.0724151271462727,14.6,61.4,15.8
29,0.0724151271462727,14.6,61.4,15.8
139,0.0712771136709411,17,63.6,19.7
204,0.0712771136709411,17,63.6,19.7
125,0.070855031514888,36.5,49.6,13.9
23,0.0665155400999782,9.3,69.4,18.2
67,0.0644012171267116,7.2,72.8,19.5
140,0.0501790915018474,22.4,62.4,11.5
43,0.0384177352749403,48.2,40.2,11
12,0.0357943925233645,0.9,76.6,21.2
48,0.0357943925233645,0.9,76.6,21.2
99,0.0321847424472941,17.6,64.4,18
185,0.0175427081069333,34.8,50.3,14.6
44,0.0103207998261247,48.5,39.5,12
133,0.00995044555531405,1.4,76.1,21.6
